#Query_org	Reference_assembly	Ref_name	MASH_distance	Estimated_ANI	P-value	Genus	Order	Type_strain
QS--flye_asm_1Dt100g_part2.fa	GCF_014334115	Sphingomonas sp014334115	0.2036	0.7964	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_913776255	Sphingomonas sp913776255	0.2050	0.7950	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014199595	Sphingomonas yabuuchiae	0.2050	0.7950	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_016107325	Sphingomonas sp016107325	0.2050	0.7950	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_000632225	Sphingomonas sp000632225	0.2050	0.7950	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001897375	Sphingomonas sp001897375	0.2050	0.7950	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_030580995	Sphingomonas sp030580995	0.2050	0.7950	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014199325	Sphingomonas yantingensis	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCA_003243195	Sphingomonas taxi_B	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_019429485	Sphingomonas citri	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_001477495	Sphingomonas yabuuchiae_A	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_902826325	Sphingomonas sp902826325	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_020866845	Sphingomonas radiodurans	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_007995065	Sphingomonas ginsenosidivorax	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_002127225	Sphingomonas sp002127225	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_026013525	Sphingomonas canadensis	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_004345855	Sphingomonas sp004345855	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_019880555	Sphingomonas mangrovi	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_013416555	Sphingomonas sp013416555	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_030818415	Sphingomonas sp030818415	0.2064	0.7936	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_013344685	Sphingomonas sp013344685	0.2078	0.7922	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_000787715	Sphingomonas parapaucimobilis	0.2078	0.7922	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_005502745	Sphingomonas sp005502745	0.2078	0.7922	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_007859635	Sphingomonas panacisoli	0.2078	0.7922	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_024211255	Sphingomonas liriopis	0.2078	0.7922	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_001591005	Sphingomonas sanguinis	0.2078	0.7922	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_003355005	Sphingomonas sp003355005	0.2078	0.7922	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_010450875	Sphingomonas insulae	0.2078	0.7922	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_021043365	Sphingomonas sp021043365	0.2078	0.7922	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001555965	Sphingomonas sp001555965	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001557215	Sphingomonas sp001557215	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_028607085	Sphingomonas_Q naphthae	0.2093	0.7907	0.0000	Sphingomonas_Q	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_026540895	Sphingomonas sp026540895	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_000764535	Sphingomonas taxi	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_004208535	Sphingomonas populi	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCA_016937575	Sphingomonas aeriglobus	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_913778135	Sphingomonas sp913778135	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_019429525	Sphingomonas folii	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_913777325	Sphingomonas sp913777325	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_029543155	Sphingomonas sp029543155	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_000419605	Sphingomonas phyllosphaerae_B	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_000739895	Sphingomonas paucimobilis	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_913776045	Sphingomonas sp913776045	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_004101245	Sphingomonas sp004101245	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_027922045	Sphingomonas terregens	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_019429535	Sphingomonas citricola	0.2093	0.7907	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCA_002863155	Sphingomonas sp002863155	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001421995	Sphingomonas sp001421995	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_004796535	Sphingomonas_L flavalba	0.2109	0.7891	0.0000	Sphingomonas_L	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_902498785	Sphingomonas sp902498785	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_009789535	Sphingomonas carotinifaciens	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_003345355	Sphingomonas aracearum	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_026130605	Sphingomonas lycopersici	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCA_913774925	Sphingomonas sp913774925	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_006438735	Sphingomonas koreensis_A	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_024666595	Sphingomonas sp024666595	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_936927845	Sphingomonas sp936927845	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_004795835	Sphingomonas sp004795835	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_012650175	Sphingomonas sp012650175	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001476905	Sphingomonas sanguinis_B	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_946477935	Sphingomonas sp946477935	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_002351485	Sphingomonas spermidinifaciens	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCA_019112965	Sphingomonas excrementigallinarum	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_900110035	Sphingomonas gellani	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_001421245	Sphingomonas sp001421245	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014199625	Sphingomonas abaci	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_006438955	Sphingomonas oligophenolica	0.2109	0.7891	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_002083435	Sphingomonas sp002083435	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_013374095	Sphingomonas sp013374095	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_026107375	Sphingomonas sp026107375	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_019898765	Sphingomonas yunnanensis	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_013409985	Sphingomonas melonis_A	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_030854225	Sphingomonas sp030854225	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_011761945	Sphingomonas leidyi	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_011927635	Sphingomonas trueperi	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_023806085	Sphingomonas sp023806085	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_029433115	Sphingomonas sp029433115	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_007833215	Sphingomonas suaedae	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_000226955	Sphingomonas elodea	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014892665	Sphingomonas sp014892665	0.2125	0.7875	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_024072375	Sphingomonas sp024072375	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001598435	Sphingomonas pituitosa	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_030819175	Sphingomonas sp030819175	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_913062585	Sphingomonas sp913062585	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001598355	Sphingomonas asaccharolytica	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_026013415	Sphingomonas caeni	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_019746665	Sphingomonas sp019746665	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_019635515	Sphingomonas sp019635515	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014197135	Sphingomonas zeae	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_001421805	Sphingomonas sp001421805	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014196115	Sphingomonas aquatilis	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_022662335	Sphingomonas sp022662335	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_005503355	Sphingomonas sp005503355	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_028551275	Sphingomonas hankookensis_A	0.2142	0.7858	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014194975	Sphingomonas sp014194975	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_002797435	Sphingomonas koreensis	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_026167525	Sphingomonas sp026167525	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_024211275	Sphingomonas tagetis	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_003610375	Sphingomonas sp003610375	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_028473665	Sphingomonas phytovorans	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_023426225	Sphingomonas sp023426225	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_003951315	Sphingomonas sp003951315	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001421745	Sphingomonas sp001421745	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_003046295	Sphingomonas aerolata	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_903644135	Sphingomonas sp903644135	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014842075	Sphingomonas sp014842075	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_900103265	Sphingomonas sp900103265	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_003050745	Sphingomonas sp003050745	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014636175	Sphingomonas psychrolutea	0.2159	0.7841	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCA_030824725	Sphingomonas sp030824725	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_913777625	Sphingomonas sp913777625	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001423765	Sphingomonas sp001423765	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_903643065	Sphingomonas sp903643065	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_022664395	Sphingomonas sp022664395	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014358075	Sphingomonas albertensis	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_011320075	Allosphingosinicella sp011320075	0.2177	0.7823	0.0000	Allosphingosinicella	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_024508665	Sphingomonas sp024508665	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_003240755	Sphingomonas hengshuiensis_A	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_937871615	Sphingomonas sp937871615	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_004340945	Sphingomonas sp004340945	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_903642285	Sphingomonas sp903642285	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_019297835	Sphingomonas sanguinis_D	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_030149245	Sphingomonas sp030149245	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_003053745	Sphingomonas faeni	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_030730875	Sphingomonas sp030730875	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001981525	Sphingomonas jeddahensis	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_029911635	Sphingomonas sp029911635	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_022664465	Sphingomonas hankookensis	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_000712135	Sphingomonas sp000712135	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014204495	Sphingomonas kyeonggiensis_A	0.2177	0.7823	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014490665	Sphingomonas alpina	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_001423845	Sphingomonas sp001423845	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014193845	Sphingomonas sp014193845	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014841895	Sphingomonas sp014841895	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_024273235	Sphingomonas faeni_A	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_903643035	Sphingomonas sp903643035	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_018449795	Sphingomonas sp018449795	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001422045	Sphingomonas sp001422045	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_942636505	Sphingomonas sp942636505	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_023386515	Sphingomonas sp023386515	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_026460985	Sphingomonas sp026460985	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_000935025	Sphingomonas hengshuiensis	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_900109205	Sphingomonas sp900109205	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_004343105	Sphingomonas sp004343105	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCA_023445495	Sphingomonas sp023445495	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_004216825	Sphingomonas sp004216825	0.2195	0.7805	0.0000	Sphingomonas	Sphingomonadales	False
