host_value	taxon_name	taxon_rank	class_name	class_tax_id	genus_id	genus_name	accession	host	accession_number
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_000178455.1	Homo sapiens	000178455.1
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_000285835.1	Homo sapiens	000285835.1
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_013004595.1	Homo sapiens	013004595.1
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_007558825.1	Homo sapiens	007558825.1
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001815905.1	Homo sapiens	001815905.1
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_015209585.1	Homo sapiens	015209585.1
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_002871795.1	Homo sapiens	002871795.1
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_019056515.1	Homo sapiens	019056515.1
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_001644225.1	Homo sapiens	001644225.1
gossypium hirsutum	Gossypium hirsutum	species	Magnoliopsida	3398	53335	Pantoea	GCF_008632075.1	Gossypium hirsutum	008632075.1
distemonanthus benthamianus	Distemonanthus benthamianus	species	Magnoliopsida	3398	53335	Pantoea	GCF_003813865.1	Distemonanthus benthamianus	003813865.1
zamia integrifolia	Zamia integrifolia	species	Cycadopsida	3296	53335	Pantoea	GCF_002077695.1	Zamia integrifolia	002077695.1
acrosternum arabicum	Acrosternum arabicum	species	Insecta	50557	53335	Pantoea	GCF_013753875.1	Acrosternum arabicum	013753875.1
brassica napus	Brassica napus	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_014842075.1	Brassica napus	014842075.1
brassica napus	Brassica napus	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_014841615.1	Brassica napus	014841615.1
brassica napus	Brassica napus	species	Magnoliopsida	3398	33882	Microbacterium	GCF_000956525.1	Brassica napus	000956525.1
oryza sativa	Oryza sativa	species	Magnoliopsida	3398	53335	Pantoea	GCF_003236715.1	Oryza sativa	003236715.1
oryza sativa	Oryza sativa	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001476905.1	Oryza sativa	001476905.1
oryza sativa	Oryza sativa	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001476895.1	Oryza sativa	001476895.1
oryza sativa	Oryza sativa	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001477495.1	Oryza sativa	001477495.1
oryza sativa	Oryza sativa	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001476285.1	Oryza sativa	001476285.1
oryza sativa	Oryza sativa	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001476655.1	Oryza sativa	001476655.1
rice	Oryza sativa	species	Magnoliopsida	3398	33882	Microbacterium	GCF_018224615.1	rice	018224615.1
euphorbia granulata	Euphorbia granulata	species	Magnoliopsida	3398	33882	Microbacterium	GCF_016805985.1	Euphorbia granulata	016805985.1
pineapple	Ananas comosus	species	Magnoliopsida	3398	53335	Pantoea	GCF_000710035.2	pineapple	000710035.2
corn	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	53335	Pantoea	GCF_014155765.1	corn	014155765.1
zea mays var. rugosa	Rugosa	genus	Amphibia	8292	53335	Pantoea	GCF_008801695.1	Zea mays var. rugosa	008801695.1
impatiens balsamina	Impatiens balsamina	species	Magnoliopsida	3398	53335	Pantoea	GCF_006494375.1	Impatiens balsamina	006494375.1
onion	Allium cepa	species	Magnoliopsida	3398	53335	Pantoea	GCF_002307475.1	Onion	002307475.1
wheat	Triticum aestivum	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_014358075.1	wheat	014358075.1
toxicodendron radicans	Toxicodendron radicans	species	Magnoliopsida	3398	53335	Pantoea	GCF_001187905.1	Toxicodendron radicans	001187905.1
mirabilis jalapa	Mirabilis jalapa	species	Magnoliopsida	3398	33882	Microbacterium	GCF_004854025.1	Mirabilis jalapa	004854025.1
ectocarpus subulatus	Ectocarpus subulatus	species	Phaeophyceae	2870	13687	Sphingomonas	GCF_902506605.1	Ectocarpus subulatus	902506605.1
ectocarpus subulatus	Ectocarpus subulatus	species	Phaeophyceae	2870	13687	Sphingomonas	GCF_902506455.1	Ectocarpus subulatus	902506455.1
ectocarpus subulatus	Ectocarpus subulatus	species	Phaeophyceae	2870	33882	Microbacterium	GCF_902506375.1	Ectocarpus subulatus	902506375.1
mus musculus	Mus musculus	species	Mammalia	40674	53335	Pantoea	GCF_013415305.1	Mus musculus	013415305.1
mus musculus	Mus musculus	species	Mammalia	40674	33882	Microbacterium	GCF_015235415.1	Mus musculus	015235415.1
rafflesia cantleyi	Rafflesia cantleyi	species	Magnoliopsida	3398	53335	Pantoea	GCF_000295955.2	Rafflesia cantleyi	000295955.2
euschistus servus	Euschistus servus	species	Insecta	50557	53335	Pantoea	GCF_009830035.1	Euschistus servus	009830035.1
perinereis linea	Perinereis linea	species	Polychaeta	6341	33882	Microbacterium	GCF_013282805.1	Perinereis linea	013282805.1
panax ginseng	Panax ginseng	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001717955.1	Panax ginseng	001717955.1
leontopodium alpinum	Filago congesta	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_002796605.1	Leontopodium alpinum	002796605.1
vachellia caven	Vachellia caven	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_000427645.1	Vachellia caven	000427645.1
quercus mongolica	Quercus mongolica	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_012035195.1	Quercus mongolica	012035195.1
poplar	Populus	genus	Magnoliopsida	3398	13687	Sphingomonas	GCF_004208535.1	poplar	004208535.1
paralithodes camtschaticus	Paralithodes camtschaticus	species	Malacostraca	6681	13687	Sphingomonas	GCF_006346325.1	Paralithodes camtschaticus	006346325.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001423845.1	Arabidopsis thaliana	001423845.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001424005.1	Arabidopsis thaliana	001424005.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421535.1	Arabidopsis thaliana	001421535.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421995.1	Arabidopsis thaliana	001421995.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001428865.1	Arabidopsis thaliana	001428865.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001422045.1	Arabidopsis thaliana	001422045.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421355.1	Arabidopsis thaliana	001421355.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421805.1	Arabidopsis thaliana	001421805.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001425385.1	Arabidopsis thaliana	001425385.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421745.1	Arabidopsis thaliana	001421745.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421415.1	Arabidopsis thaliana	001421415.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001426195.1	Arabidopsis thaliana	001426195.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421505.1	Arabidopsis thaliana	001421505.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421765.1	Arabidopsis thaliana	001421765.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001423765.1	Arabidopsis thaliana	001423765.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421965.1	Arabidopsis thaliana	001421965.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421715.1	Arabidopsis thaliana	001421715.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421785.1	Arabidopsis thaliana	001421785.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001425405.1	Arabidopsis thaliana	001425405.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	13687	Sphingomonas	GCF_001421245.1	Arabidopsis thaliana	001421245.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	33882	Microbacterium	GCF_015278355.1	Arabidopsis thaliana	015278355.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001427525.1	Arabidopsis thaliana	001427525.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001426995.1	Arabidopsis thaliana	001426995.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001423485.1	Arabidopsis thaliana	001423485.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001422925.1	Arabidopsis thaliana	001422925.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001424225.1	Arabidopsis thaliana	001424225.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001428485.1	Arabidopsis thaliana	001428485.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001427145.1	Arabidopsis thaliana	001427145.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001423615.1	Arabidopsis thaliana	001423615.1
arabidopsis thaliana	Arabidopsis thaliana	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001426925.1	Arabidopsis thaliana	001426925.1
trebouxia sp. tzw2008	Trebouxia sp. TZW2008	species	Trebouxiophyceae	75966	13687	Sphingomonas	GCF_002117915.1	Trebouxia sp. TZW2008	002117915.1
anopheles gambiae	Anopheles gambiae	species	Insecta	50557	13687	Sphingomonas	GCF_000980895.1	Anopheles gambiae	000980895.1
dairy cattle	Bos	genus	Mammalia	40674	13687	Sphingomonas	GCF_017418975.1	dairy cattle	017418975.1
gallus gallus	Gallus gallus	species	Aves	8782	13687	Sphingomonas	GCA_019112965.1	Gallus gallus	019112965.1
gallus gallus	Gallus gallus	species	Aves	8782	1696	Brevibacterium	GCA_019117545.1	Gallus gallus	019117545.1
gallus gallus	Gallus gallus	species	Aves	8782	1696	Brevibacterium	GCA_019117325.1	Gallus gallus	019117325.1
gallus gallus	Gallus gallus	species	Aves	8782	43668	Brachybacterium	GCA_019118275.1	Gallus gallus	019118275.1
gallus gallus	Gallus gallus	species	Aves	8782	43668	Brachybacterium	GCA_019115335.1	Gallus gallus	019115335.1
gallus gallus	Gallus gallus	species	Aves	8782	33882	Microbacterium	GCF_014837165.1	Gallus gallus	014837165.1
gallus gallus	Gallus gallus	species	Aves	8782	33882	Microbacterium	GCF_014836535.1	Gallus gallus	014836535.1
gallus gallus	Gallus gallus	species	Aves	8782	33882	Microbacterium	GCA_019117025.1	Gallus gallus	019117025.1
bos taurus	Bos taurus	species	Mammalia	40674	43668	Brachybacterium	GCF_014400405.1	Bos taurus	014400405.1
lolium arundinaceum	Lolium arundinaceum	species	Magnoliopsida	3398	1696	Brevibacterium	GCF_016892625.1	Lolium arundinaceum	016892625.1
grass carp	Ctenopharyngodon idella	species	Actinopteri	186623	43668	Brachybacterium	GCF_009299795.1	grass carp	009299795.1
vultur gryphus	Vultur gryphus	species	Aves	8782	43668	Brachybacterium	GCF_002407185.1	Vultur gryphus	002407185.1
vultur gryphus	Vultur gryphus	species	Aves	8782	43668	Brachybacterium	GCF_002216795.1	Vultur gryphus	002216795.1
scutellaria baicalensis	Scutellaria baicalensis	species	Magnoliopsida	3398	43668	Brachybacterium	GCF_003130585.1	Scutellaria baicalensis	003130585.1
tibetan gazelle	Procapra picticaudata	species	Mammalia	40674	33882	Microbacterium	GCF_004564355.1	Tibetan Gazelle	004564355.1
ochotona curzoniae (plateau pika)	Ochotona curzoniae	species	Mammalia	40674	33882	Microbacterium	GCF_008727775.1	Ochotona curzoniae (plateau pika)	008727775.1
ochotona curzoniae (plateau pika)	Ochotona curzoniae	species	Mammalia	40674	33882	Microbacterium	GCF_008727755.1	Ochotona curzoniae (plateau pika)	008727755.1
excoecaria agallocha	Excoecaria agallocha	species	Magnoliopsida	3398	33882	Microbacterium	GCF_011326725.1	Excoecaria agallocha	011326725.1
suaeda aralocaspica	Suaeda aralocaspica	species	Magnoliopsida	3398	33882	Microbacterium	GCF_003254645.1	Suaeda aralocaspica	003254645.1
cow	Bos taurus	species	Mammalia	40674	33882	Microbacterium	GCF_017592545.1	cow	017592545.1
cow	Bos taurus	species	Mammalia	40674	33882	Microbacterium	GCF_014779795.1	cow	014779795.1
cow	Bos taurus	species	Mammalia	40674	33882	Microbacterium	GCF_003387575.1	cow	003387575.1
karelinia caspia	Karelinia caspia	species	Magnoliopsida	3398	33882	Microbacterium	GCF_009745985.1	Karelinia caspia	009745985.1
kalidium foliatum	Kalidium foliatum	species	Magnoliopsida	3398	33882	Microbacterium	GCF_002970975.1	Kalidium foliatum	002970975.1
lactuca sativa	Lactuca sativa	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001792815.1	Lactuca sativa	001792815.1
azadirachta indica	Azadirachta indica	species	Magnoliopsida	3398	33882	Microbacterium	GCF_000956545.1	Azadirachta indica	000956545.1
crassostrea virginica	Crassostrea virginica	species	Bivalvia	6544	33882	Microbacterium	GCF_000455825.1	Crassostrea virginica	000455825.1
salix viminalis	Salix viminalis	species	Magnoliopsida	3398	33882	Microbacterium	GCF_000956405.1	Salix viminalis	000956405.1
botryococcus braunii	Botryococcus braunii	species	Trebouxiophyceae	75966	33882	Microbacterium	GCF_001262495.1	Botryococcus braunii	001262495.1
papaver somniferum	Papaver somniferum	species	Magnoliopsida	3398	33882	Microbacterium	GCF_003289625.1	Papaver somniferum	003289625.1
poa annua	Poa annua	species	Magnoliopsida	3398	33882	Microbacterium	GCF_015350795.1	Poa annua	015350795.1
anopheles sinensis	Anopheles sinensis	species	Insecta	50557	33882	Microbacterium	GCF_001878835.1	Anopheles sinensis	001878835.1
goat	Capra hircus	species	Mammalia	40674	33882	Microbacterium	GCA_017405925.1	goat	017405925.1
alyssum serpyllifolium ssp. lusitanicum	Odontarrhena serpyllifolia	species	Magnoliopsida	3398	33882	Microbacterium	GCF_000956475.1	Alyssum serpyllifolium ssp. lusitanicum	000956475.1
caenorhabditis elegans my316	Caenorhabditis elegans	species	Chromadorea	119089	33882	Microbacterium	GCF_002979435.1	Caenorhabditis elegans MY316	002979435.1
caenorhabditis elegans my316	Caenorhabditis elegans	species	Chromadorea	119089	33882	Microbacterium	GCF_002979655.1	Caenorhabditis elegans MY316	002979655.1
caenorhabditis elegans my316	Caenorhabditis elegans	species	Chromadorea	119089	33882	Microbacterium	GCF_002979475.1	Caenorhabditis elegans MY316	002979475.1
caenorhabditis elegans my316	Caenorhabditis elegans	species	Chromadorea	119089	33882	Microbacterium	GCF_002979415.1	Caenorhabditis elegans MY316	002979415.1
kalidium foliatum (pall.) moq	Kalidium foliatum	species	Magnoliopsida	3398	43668	Brachybacterium	GCF_003347015.1	Kalidium foliatum (Pall.) Moq	003347015.1
linum austriacum ssp. austriacum	Linum austriacum	species	Magnoliopsida	3398	33882	Microbacterium	GCF_001889265.1	Linum austriacum ssp. austriacum	001889265.1
protaetia brevitarsis seulensis larva	Protaetia brevitarsis seulensis	subspecies	Insecta	50557	33882	Microbacterium	GCF_004135285.1	Protaetia brevitarsis seulensis larva	004135285.1
salix sp. (willow)	Salix	genus	Magnoliopsida	3398	13687	Sphingomonas	GCF_000632225.1	Salix sp. (willow)	000632225.1
