name,tax_id,accession_id,total_number_of_chromosomes,total_sequence_length,total_ungapped_length,number_of_contigs,contig_n50,contig_l50,number_of_scaffolds,scaffold_n50,scaffold_l50,number_of_component_sequences,atgc_count,gc_count,gc_percent,genome_coverage,checkm_marker_set,checkm_species_tax_id,checkm_marker_set_rank,checkm_version,completeness,contamination,completeness_percentile,rank
Pseudomonas aeruginosa,287,GCF_044759005.1,1,7226944,7226944,1,7226944,1,1,7226944,1,1,7226944,4741630,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.61,1.61,76.1439,SPECIES
Pseudomonas aeruginosa,287,GCF_025723085.1,1,7223955,7223955,1,7223955,1,1,7223955,1,1,7223955,4733029,65.5,94,Pseudomonas aeruginosa,287,species,v1.2.3,99.32,1.13,45.6852,SPECIES
Pseudomonas aeruginosa,287,GCF_050242775.1,1,7222077,7222077,1,7222077,1,1,7222077,1,1,7222077,4766132,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,98.53,0.8,16.3822,SPECIES
Pseudomonas aeruginosa,287,GCF_050908775.1,1,7209899,7209899,1,7209899,1,1,7209899,1,1,7209899,4738748,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.3,96.49,0.94,5.23945,SPECIES
Pseudomonas aeruginosa,287,GCF_900497025.1,2,7231910,7231910,2,7207057,1,2,7207057,1,2,7231910,4745014,65.5,150,Pseudomonas aeruginosa,287,species,v1.2.3,99.11,1.17,31.0514,SPECIES
Pseudomonas aeruginosa,287,GCF_050238915.1,1,7202124,7202124,1,7202124,1,1,7202124,1,1,7202124,4749607,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.06,1.4,29.0126,SPECIES
Pseudomonas aeruginosa,287,GCF_050238865.1,1,7198289,7198289,1,7198289,1,1,7198289,1,1,7198289,4747053,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,98.72,1.4,19.3694,SPECIES
Pseudomonas aeruginosa,287,GCF_041951335.1,1,7193015,7193015,1,7193015,1,1,7193015,1,1,7193015,4736248,66,1,Pseudomonas aeruginosa,287,species,v1.2.4,98.91,0.78,23.7138,SPECIES
Pseudomonas aeruginosa,287,GCF_009662315.1,1,7190208,7190208,1,7190208,1,1,7190208,1,1,7190208,4724501,65.5,400,Pseudomonas aeruginosa,287,species,v1.2.3,99.02,1.13,27.6671,SPECIES
Pseudomonas aeruginosa,287,GCF_047049275.1,1,7188544,7188544,1,7188544,1,1,7188544,1,1,7188544,4727369,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.22,1.28,38.1757,SPECIES
Pseudomonas aeruginosa,287,GCF_052695735.1,2,7446507,7446507,2,7188348,1,2,7188348,1,2,7446507,4869982,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.4,99.51,2.92,64.527,SPECIES
Pseudomonas aeruginosa,287,GCF_019710495.1,3,7708846,7708846,3,7182635,1,3,7182635,1,3,7708846,5035033,65.5,60.71,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,2.42,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_050642295.1,3,7298236,7298236,3,7182497,1,3,7182497,1,3,7298236,4785723,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.25,0.84,39.6752,SPECIES
Pseudomonas aeruginosa,287,GCF_035621175.1,1,7181357,7181357,1,7181357,1,1,7181357,1,1,7181357,4720623,65.5,20,Pseudomonas aeruginosa,287,species,v1.2.3,99.07,0.65,29.4097,SPECIES
Pseudomonas aeruginosa,287,GCF_029961525.1,2,7182488,7182488,2,7181191,1,2,7181191,1,2,7182488,4712765,65.5,29,Pseudomonas aeruginosa,287,species,v1.2.3,99,2.27,26.9618,SPECIES
Pseudomonas aeruginosa,287,GCF_051257875.1,2,7180864,7180864,2,7178082,1,2,7178082,1,2,7180864,4720296,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.4,99.55,1.21,70.9815,SPECIES
Pseudomonas aeruginosa,287,GCF_016745115.1,1,7177049,7177049,1,7177049,1,1,7177049,1,1,7177049,4714857,65.5,100,Pseudomonas aeruginosa,287,species,v1.2.3,99.55,1.32,70.9815,SPECIES
Pseudomonas aeruginosa,287,GCF_019915465.1,1,7173620,7173620,1,7173620,1,1,7173620,1,1,7173620,4721181,66,82,Pseudomonas aeruginosa,287,species,v1.2.3,98.1,1.31,12.2392,SPECIES
Pseudomonas aeruginosa,287,GCF_050499725.1,2,7285376,7285376,2,7171071,1,2,7171071,1,2,7285376,4778046,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.47,0.84,59.3706,SPECIES
Pseudomonas aeruginosa,287,GCF_036232065.1,1,7170868,7170868,1,7170868,1,1,7170868,1,1,7170868,4722031,66,109,Pseudomonas aeruginosa,287,species,v1.2.3,99.61,0.53,76.1439,SPECIES
Pseudomonas aeruginosa,287,GCF_018279245.1,1,7168136,7168136,1,7168136,1,1,7168136,1,1,7168136,4721051,66,30,Pseudomonas aeruginosa,287,species,v1.2.3,99.05,0.53,28.6688,SPECIES
Pseudomonas aeruginosa,287,GCF_028404045.1,1,7165834,7165834,1,7165834,1,1,7165834,1,1,7165834,4696805,65.5,NA,Pseudomonas aeruginosa,287,species,v1.2.3,99.27,1.05,41.0147,SPECIES
Pseudomonas aeruginosa,287,GCF_029961585.1,1,7164971,7164971,1,7164971,1,1,7164971,1,1,7164971,4709492,65.5,21,Pseudomonas aeruginosa,287,species,v1.2.3,98.9,0.62,23.3701,SPECIES
Pseudomonas aeruginosa,287,GCF_002968955.1,1,7162784,7162784,1,7162784,1,1,7162784,1,1,7162784,4712902,66,15.59,Pseudomonas aeruginosa,287,species,v1.2.3,99.42,1.02,56.3715,SPECIES
Pseudomonas aeruginosa,287,GCF_034120925.1,1,7158384,7158384,1,7158384,1,1,7158384,1,1,7158384,4707768,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.11,0.65,31.0514,SPECIES
Pseudomonas aeruginosa,287,GCF_013394475.2,1,7157752,7157752,1,7157752,1,1,7157752,1,1,7157752,4720968,66,100,Pseudomonas aeruginosa,287,species,v1.2.3,99.67,0.46,84.1038,SPECIES
Pseudomonas aeruginosa,287,GCF_016105505.1,1,7157191,7157191,1,7157191,1,1,7157191,1,1,7157191,4707533,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.5,1.65,63.3831,SPECIES
Pseudomonas aeruginosa,287,GCF_030489625.1,2,7213853,7213853,2,7156771,1,2,7156771,1,2,7213853,4735409,65.5,200,Pseudomonas aeruginosa,287,species,v1.2.4,99.17,1.16,34.0386,SPECIES
Pseudomonas aeruginosa,287,GCF_051257845.1,1,7156000,7156000,1,7156000,1,1,7156000,1,1,7156000,4712601,66,1,Pseudomonas aeruginosa,287,species,v1.2.4,99.51,1.37,64.527,SPECIES
Pseudomonas aeruginosa,287,GCF_029962185.1,2,7161364,7161364,2,7153669,1,2,7153669,1,2,7161364,4712072,66,41,Pseudomonas aeruginosa,287,species,v1.2.3,99.29,2,43.504,SPECIES
Pseudomonas aeruginosa,287,GCF_028404025.1,1,7153626,7153626,1,7153626,1,1,7153626,1,1,7153626,4702223,65.5,NA,Pseudomonas aeruginosa,287,species,v1.2.3,99.32,1.13,45.6852,SPECIES
Pseudomonas aeruginosa,287,GCF_013393685.1,1,7153217,7153217,1,7153217,1,1,7153217,1,1,7153217,4707923,66,100,Pseudomonas aeruginosa,287,species,v1.2.4,99.05,1.61,28.6688,SPECIES
Pseudomonas aeruginosa,287,GCF_050596895.1,4,7213902,7213902,4,7149282,1,4,7149282,1,4,7213902,4760958,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.3,0.94,44.3397,SPECIES
Pseudomonas aeruginosa,287,GCF_002205355.1,1,7148302,7148302,1,7148302,1,1,7148302,1,1,7148302,4699188,65.5,91,Pseudomonas aeruginosa,287,species,v1.2.3,99.02,1.06,27.6671,SPECIES
Pseudomonas aeruginosa,287,GCF_019857605.1,1,7144260,7144260,1,7144260,1,1,7144260,1,1,7144260,4690906,65.5,93,Pseudomonas aeruginosa,287,species,v1.2.3,98.88,1.33,22.9552,SPECIES
Pseudomonas aeruginosa,287,GCF_022424055.2,1,7144174,7144174,1,7144174,1,1,7144174,1,1,7144174,4702597,66,100,Pseudomonas aeruginosa,287,species,v1.2.3,98.99,0.83,26.6892,SPECIES
Pseudomonas aeruginosa,287,GCF_003073895.1,3,7578039,7578039,3,7139518,1,3,7139518,1,3,7578039,4957461,65.5,14.22,Pseudomonas aeruginosa,287,species,v1.2.3,99.2,2.99,37.2274,SPECIES
Pseudomonas aeruginosa,287,GCF_030851965.2,1,7137564,7137564,1,7137564,1,1,7137564,1,1,7137564,4700535,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.45,1.91,58.2622,SPECIES
Pseudomonas aeruginosa,287,GCF_035557195.1,2,7296574,7296574,2,7137446,1,2,7137446,1,2,7296574,4785089,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.11,1.42,31.0514,SPECIES
Pseudomonas aeruginosa,287,GCF_018138045.1,2,7600543,7600543,2,7137026,1,2,7137026,1,2,7600543,4952399,65,70,Pseudomonas aeruginosa,287,species,v1.2.3,99.39,2.27,52.4123,SPECIES
Pseudomonas aeruginosa,287,GCF_036233355.1,1,7134225,7134225,1,7134225,1,1,7134225,1,1,7134225,4686786,65.5,97,Pseudomonas aeruginosa,287,species,v1.2.3,99.18,2.4,34.5009,SPECIES
Pseudomonas aeruginosa,287,GCF_034480885.1,1,7132031,7132031,1,7132031,1,1,7132031,1,1,7132031,4695320,66,372,Pseudomonas aeruginosa,287,species,v1.2.3,99.25,1.48,39.6752,SPECIES
Pseudomonas aeruginosa,287,GCF_016864415.1,1,7130555,7130555,1,7130555,1,1,7130555,1,1,7130555,4689281,66,100,Pseudomonas aeruginosa,287,species,v1.2.3,99.77,2.24,91.0028,SPECIES
Pseudomonas aeruginosa,287,GCF_029961565.1,2,7130619,7130619,2,7128627,1,2,7128627,1,2,7130619,4698860,66,43,Pseudomonas aeruginosa,287,species,v1.2.3,98.84,1.12,21.9832,SPECIES
Pseudomonas aeruginosa,287,GCF_038431885.1,1,7128425,7128425,1,7128425,1,1,7128425,1,1,7128425,4686675,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.61,1,76.1439,SPECIES
Pseudomonas aeruginosa,287,GCF_027570455.1,1,7126864,7126864,1,7126864,1,1,7126864,1,1,7126864,4697171,66,120,Pseudomonas aeruginosa,287,species,v1.2.3,99.3,1.59,44.3397,SPECIES
Pseudomonas aeruginosa,287,GCF_003073735.1,1,7125975,7125975,1,7125975,1,1,7125975,1,1,7125975,4687781,66,16.05,Pseudomonas aeruginosa,287,species,v1.2.3,99.32,1.24,45.6852,SPECIES
Pseudomonas aeruginosa,287,GCF_019915485.1,1,7124329,7124329,1,7124329,1,1,7124329,1,1,7124329,4691513,66,116,Pseudomonas aeruginosa,287,species,v1.2.3,98.97,0.66,25.486,SPECIES
Pseudomonas aeruginosa,287,GCF_003813025.1,2,7155137,7155137,2,7119105,1,2,7119105,1,2,7155137,4711162,66,22.72,Pseudomonas aeruginosa,287,species,v1.2.3,99.07,0.81,29.4097,SPECIES
Pseudomonas aeruginosa,287,GCF_051016025.1,1,7118680,7118680,1,7118680,1,1,7118680,1,1,7118680,4684150,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.17,1.1,34.0386,SPECIES
Pseudomonas aeruginosa,287,GCF_049912825.1,1,7109923,7109923,1,7109923,1,1,7109923,1,1,7109923,4683963,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.68,1.29,84.418,SPECIES
Pseudomonas aeruginosa,287,GCF_003369755.1,1,7106857,7106857,1,7106857,1,1,7106857,1,1,7106857,4672820,66,135.44,Pseudomonas aeruginosa,287,species,v1.2.3,98.12,1.27,12.4822,SPECIES
Pseudomonas aeruginosa,287,GCF_027595025.1,3,7389660,7389660,3,7106701,1,3,7106701,1,3,7389660,4844271,65.5,100,Pseudomonas aeruginosa,287,species,v1.2.3,99.61,1.86,76.1439,SPECIES
Pseudomonas aeruginosa,287,GCF_016745175.1,1,7103853,7103853,1,7103853,1,1,7103853,1,1,7103853,4685768,66,100,Pseudomonas aeruginosa,287,species,v1.2.3,99.3,0.38,44.3397,SPECIES
Pseudomonas aeruginosa,287,GCF_028994395.2,2,7507264,7507264,2,7100829,1,2,7100829,1,2,7507264,4908637,65.5,243,Pseudomonas aeruginosa,287,species,v1.2.4,99.61,3.01,76.1439,SPECIES
Pseudomonas aeruginosa,287,GCF_020771755.1,2,7149744,7149744,2,7098808,1,2,7098808,1,2,7149744,4701008,66,100,Pseudomonas aeruginosa,287,species,v1.2.3,98.62,1.81,17.7157,SPECIES
Pseudomonas aeruginosa,287,GCF_049563845.1,1,7097679,7097679,1,7097679,1,1,7097679,1,1,7097679,4684176,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.43,0.56,56.8516,SPECIES
Pseudomonas aeruginosa,287,GCF_003433235.1,1,7097241,7097241,1,7097241,1,1,7097241,1,1,7097241,4683438,66,147,Pseudomonas aeruginosa,287,species,v1.2.4,97.99,0.7,11.5161,SPECIES
Pseudomonas aeruginosa,287,GCF_025398135.1,2,7556587,7556587,2,7094521,1,2,7094521,1,2,7556587,4928406,65,153,Pseudomonas aeruginosa,287,species,v1.2.3,99.05,3.15,28.6688,SPECIES
Pseudomonas aeruginosa,287,GCF_019915445.1,1,7093992,7093992,1,7093992,1,1,7093992,1,1,7093992,4674901,66,210,Pseudomonas aeruginosa,287,species,v1.2.3,99.11,1.29,31.0514,SPECIES
Pseudomonas aeruginosa,287,GCF_028403985.1,1,7092945,7092945,1,7092945,1,1,7092945,1,1,7092945,4661517,65.5,NA,Pseudomonas aeruginosa,287,species,v1.2.3,99.04,1.34,28.2658,SPECIES
Pseudomonas aeruginosa,287,GCF_014155905.1,1,7092673,7092673,1,7092673,1,1,7092673,1,1,7092673,4667830,66,100,Pseudomonas aeruginosa,287,species,v1.2.3,98.62,1.79,17.7157,SPECIES
Pseudomonas aeruginosa,287,GCF_951691365.1,3,7444543,7444543,3,7092247,1,3,7092247,1,3,7444543,4881749,65.5,429,Pseudomonas aeruginosa,287,species,v1.2.4,99.29,1.62,43.504,SPECIES
Pseudomonas aeruginosa,287,GCF_001547955.1,1,7090694,7090694,1,7090694,1,1,7090694,1,1,7090694,4673609,66,NA,Pseudomonas aeruginosa,287,species,v1.2.3,99.54,1.39,67.6031,SPECIES
Pseudomonas aeruginosa,287,GCF_027571155.1,1,7089219,7089219,1,7089219,1,1,7089219,1,1,7089219,4672051,66,120,Pseudomonas aeruginosa,287,species,v1.2.3,99.25,1.82,39.6752,SPECIES
Pseudomonas aeruginosa,287,GCF_050499175.1,4,7153693,7153693,4,7089072,1,4,7089072,1,4,7153693,4723439,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.31,0.94,45.1162,SPECIES
Pseudomonas aeruginosa,287,GCF_031219395.1,1,7088996,7088996,1,7088996,1,1,7088996,1,1,7088996,4670660,66,100,Pseudomonas aeruginosa,287,species,v1.2.4,99.01,1.15,27.3886,SPECIES
Pseudomonas aeruginosa,287,GCF_049565415.1,1,7087284,7087284,1,7087284,1,1,7087284,1,1,7087284,4671202,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.28,1.15,41.9571,SPECIES
Pseudomonas aeruginosa,287,GCF_015697665.1,1,7087087,7087087,1,7087087,1,1,7087087,1,1,7087087,4665755,66,150,Pseudomonas aeruginosa,287,species,v1.2.3,99.3,1.34,44.3397,SPECIES
Pseudomonas aeruginosa,287,GCF_028366415.1,1,7085539,7085539,1,7085539,1,1,7085539,1,1,7085539,4667210,66,52,Pseudomonas aeruginosa,287,species,v1.2.4,99.51,1.71,64.527,SPECIES
Pseudomonas aeruginosa,287,GCF_022570415.1,2,7227720,7227720,2,7084699,1,2,7084699,1,2,7227720,4748721,65.5,100,Pseudomonas aeruginosa,287,species,v1.2.4,99.48,1.39,60.5441,SPECIES
Pseudomonas aeruginosa,287,GCF_026727735.1,3,7303308,7303308,3,7083311,1,3,7083311,1,3,7303308,4782817,65.5,250.7,Pseudomonas aeruginosa,287,species,v1.2.3,98.88,1.99,22.9552,SPECIES
Pseudomonas aeruginosa,287,GCF_033335935.1,1,7082821,7082821,1,7082821,1,1,7082821,1,1,7082821,4665519,66,70.5,Pseudomonas aeruginosa,287,species,v1.2.3,99.61,1.71,76.1439,SPECIES
Pseudomonas aeruginosa,287,GCF_030253475.1,1,7082165,7082165,1,7082165,1,1,7082165,1,1,7082165,4665161,66,206,Pseudomonas aeruginosa,287,species,v1.2.3,98.92,1.71,24.3362,SPECIES
Pseudomonas aeruginosa,287,GCF_019738995.2,3,7364447,7364447,3,7080376,1,3,7080376,1,3,7364447,4834604,65.5,92.11,Pseudomonas aeruginosa,287,species,v1.2.3,99.8,1.86,93.344,SPECIES
Pseudomonas aeruginosa,287,GCF_018279285.1,1,7080089,7080089,1,7080089,1,1,7080089,1,1,7080089,4664641,66,30,Pseudomonas aeruginosa,287,species,v1.2.3,99.47,0.51,59.3706,SPECIES
Pseudomonas aeruginosa,287,GCF_036776515.1,2,7493508,7493508,2,7079664,1,2,7079664,1,2,7493508,4883117,65,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.39,1.66,52.4123,SPECIES
Pseudomonas aeruginosa,287,GCF_003798105.1,1,7079598,7079598,1,7079598,1,1,7079598,1,1,7079597,4677671,66,228,Pseudomonas aeruginosa,287,species,v1.2.3,99.38,0.81,51.784,SPECIES
Pseudomonas aeruginosa,287,GCF_038418245.1,1,7078966,7078966,1,7078966,1,1,7078966,1,1,7078966,4663368,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.61,1.71,76.1439,SPECIES
Pseudomonas aeruginosa,287,GCF_028751785.1,2,7542056,7542056,2,7078644,1,2,7078644,1,2,7542056,4915457,65,216,Pseudomonas aeruginosa,287,species,v1.2.3,99.16,2.27,33.4578,SPECIES
Pseudomonas aeruginosa,287,GCF_049565995.1,1,7077736,7077736,1,7077736,1,1,7077736,1,1,7077736,4652900,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.31,1.15,45.1162,SPECIES
Pseudomonas aeruginosa,287,GCF_036237095.1,1,7076089,7076089,1,7076089,1,1,7076089,1,1,7076089,4651639,65.5,80,Pseudomonas aeruginosa,287,species,v1.2.3,99.55,1.07,70.9815,SPECIES
Pseudomonas aeruginosa,287,GCF_039512425.1,2,7076847,7076847,2,7073555,1,2,7073555,1,2,7076847,4656076,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.36,1.29,50.166,SPECIES
Pseudomonas aeruginosa,287,GCF_036232765.1,2,7080100,7080100,2,7073542,1,2,7073542,1,2,7080100,4660941,66,116,Pseudomonas aeruginosa,287,species,v1.2.3,99.3,1.23,44.3397,SPECIES
Pseudomonas aeruginosa,287,GCA_053283245.1,1,7071173,7071173,1,7071173,1,1,7071173,1,1,7071173,4647985,65.5,200,NA,NA,NA,NA,NA,NA,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_036232085.1,1,7070483,7070483,1,7070483,1,1,7070483,1,1,7070483,4661366,66,122,Pseudomonas aeruginosa,287,species,v1.2.3,99.72,0.56,87.3281,SPECIES
Pseudomonas aeruginosa,287,GCF_051257805.1,1,7068624,7068624,1,7068624,1,1,7068624,1,1,7068624,4656779,66,1,Pseudomonas aeruginosa,287,species,v1.2.4,99.5,0.99,63.3831,SPECIES
Pseudomonas aeruginosa,287,GCF_044759015.1,1,7067106,7067106,1,7067106,1,1,7067106,1,1,7067106,4647259,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.61,1.35,76.1439,SPECIES
Pseudomonas aeruginosa,287,GCF_034480705.1,1,7066341,7066341,1,7066341,1,1,7066341,1,1,7066341,4658117,66,782,Pseudomonas aeruginosa,287,species,v1.2.3,99.28,1.48,41.9571,SPECIES
Pseudomonas aeruginosa,287,GCF_030758435.1,1,7060127,7060127,1,7060127,1,1,7060127,1,1,7060127,4647699,66,100,Pseudomonas aeruginosa,287,species,v1.2.4,99.01,1.05,27.3886,SPECIES
Pseudomonas aeruginosa,287,GCF_040429605.1,1,7059884,7059884,1,7059884,1,1,7059884,1,1,7059884,4631347,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.4,99.02,0.8,27.6671,SPECIES
Pseudomonas aeruginosa,287,GCF_028404105.1,2,7200635,7200635,2,7057974,1,2,7057974,1,2,7200635,4727214,65.5,NA,Pseudomonas aeruginosa,287,species,v1.2.3,99.3,1.63,44.3397,SPECIES
Pseudomonas aeruginosa,287,GCF_050908855.1,1,7056741,7056741,1,7056741,1,1,7056741,1,1,7056741,4649651,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,97.64,1.26,9.38241,SPECIES
Pseudomonas aeruginosa,287,GCF_013393665.2,1,7056430,7056430,1,7056430,1,1,7056430,1,1,7056430,4649726,66,100,Pseudomonas aeruginosa,287,species,v1.2.3,99.26,1.15,40.5168,SPECIES
Pseudomonas aeruginosa,287,GCF_028404065.1,1,7055952,7055952,1,7055952,1,1,7055952,1,1,7055952,4640959,66,NA,Pseudomonas aeruginosa,287,species,v1.2.3,99.09,1.34,30.435,SPECIES
Pseudomonas aeruginosa,287,GCF_033219955.1,2,7062540,7062540,2,7054120,1,2,7054120,1,2,7062540,4659647,66,298.5,Pseudomonas aeruginosa,287,species,v1.2.3,99.15,0.52,32.9659,SPECIES
