name,tax_id,accession_id,total_sequence_length,total_ungapped_length,number_of_contigs,contig_n50,contig_l50,number_of_scaffolds,scaffold_n50,scaffold_l50,number_of_component_sequences,atgc_count,gc_count,gc_percent,genome_coverage,checkm_marker_set,checkm_species_tax_id,checkm_marker_set_rank,checkm_version,completeness,contamination,completeness_percentile,total_number_of_chromosomes,rank
Mycolicibacterium smegmatis,1772,GCF_020731585.1,6967248,6967248,2,6888981,1,2,6888981,1,2,6967248,4695499,67.5,710.55,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_023913245.1,6912349,6912349,112,171901,16,112,171901,16,112,6912349,4659344,67.5,87.59,Mycobacterium smegmatis,1772,species,v1.2.4,98.52,0.88,60.8696,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_039889255.1,6921148,6921148,211,110892,19,211,110892,19,211,6921148,4655149,67.5,51.9,Mycobacterium smegmatis,1772,species,v1.2.3,97.98,2,18.8406,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_029221955.1,6921838,6921838,184,209039,11,184,209039,11,184,6921838,4656657,67.5,103,Mycobacterium smegmatis,1772,species,v1.2.4,97.95,2.21,15.942,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_039889265.1,6914441,6914441,200,128186,18,200,128186,18,200,6914441,4653904,67.5,47.3,Mycobacterium smegmatis,1772,species,v1.2.3,97.95,1.96,15.942,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_029221905.1,6913465,6913465,198,107387,18,198,107387,18,198,6913465,4653076,67.5,55.7,Mycobacterium smegmatis,1772,species,v1.2.4,97.74,2.21,13.0435,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_029222015.1,6940540,6940540,310,108221,21,310,108221,21,310,6940539,4670782,67.5,41.4,Mycobacterium smegmatis,1772,species,v1.2.4,97.71,2.2,10.1449,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_029221935.1,6916857,6916857,197,126232,17,197,126232,17,197,6916857,4654615,67.5,62.1,Mycobacterium smegmatis,1772,species,v1.2.4,97.71,2.18,10.1449,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_900453465.1,6959437,6959437,5,3570371,1,5,3570371,1,5,6959437,4690086,67.5,100,Mycobacterium smegmatis,1772,species,v1.2.3,97.57,1.29,7.24638,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024179085.1,7600730,7600730,96,199025,13,96,199025,13,96,7600730,5130044,67.5,44,Mycobacterium smegmatis,1772,species,v1.2.4,94.7,12.56,NA,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_004371905.1,6405151,6405151,31,510827,6,31,510827,6,31,6405060,4255830,66.5,33,Pseudomonas aeruginosa,287,species,v1.2.3,99.87,0.36,99.9822,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001374995.1,6488187,6488187,72,256548,9,72,256548,9,72,6488187,4302056,66.5,45,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001374795.1,6488449,6488449,78,256528,9,78,256528,9,78,6488449,4302200,66.5,32,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001375355.1,6490219,6490219,75,256525,10,75,256525,10,75,6490219,4303385,66.5,34,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001374895.1,6489002,6489002,73,256502,9,73,256502,9,73,6489002,4302442,66.5,35,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001373615.1,6488596,6488596,71,243951,9,71,243951,9,71,6488596,4302423,66.5,29,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001374655.1,6490367,6490367,71,243951,7,71,243951,7,71,6490367,4303482,66.5,36,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001374855.1,6486199,6486199,76,243951,9,76,243951,9,76,6486199,4300812,66.5,28,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001375015.1,6480396,6480396,76,233286,8,76,233286,8,76,6480396,4297651,66.5,30,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001373775.1,6489195,6489195,75,231561,11,75,231561,11,75,6489195,4302744,66.5,24,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas putida,303,GCF_003053335.1,5996379,5996379,232,82281,22,232,82281,22,232,5996379,3711400,62,53,Pseudomonas putida,303,species,v1.2.4,99.9,0.99,99.2629,NA,SPECIES
Pseudomonas putida,303,GCF_028682565.1,6019916,6019916,55,513896,5,55,513896,5,55,6019916,3733076,62,50,Pseudomonas putida,303,species,v1.2.3,99.89,0.16,96.5602,NA,SPECIES
Pseudomonas putida,303,GCF_028682595.1,6020308,6020308,54,513896,5,54,513896,5,54,6020308,3733337,62,50,Pseudomonas putida,303,species,v1.2.3,99.89,0.16,96.5602,NA,SPECIES
Pseudomonas putida,303,GCF_044440665.1,5994130,5994130,34,371472,6,34,371472,6,34,5994130,3719356,62,270,Pseudomonas putida,303,species,v1.2.3,99.89,0.14,96.5602,NA,SPECIES
Pseudomonas putida,303,GCF_022134665.1,5993665,5993665,93,194507,11,93,194507,11,93,5993665,3719495,62,41.12,Pseudomonas putida,303,species,v1.2.3,99.89,0.14,96.5602,NA,SPECIES
Pseudomonas putida,303,GCF_021602445.1,6906464,6906464,193,114484,19,193,114484,19,193,6906464,4266381,62,58.3,Pseudomonas putida,303,species,v1.2.4,99.89,1.99,96.5602,NA,SPECIES
Pseudomonas putida,303,GCF_050573375.1,5913006,5913006,118,104031,14,118,104031,14,118,5913006,3660317,62,200,Pseudomonas putida,303,species,v1.2.3,99.88,0.36,96.3145,NA,SPECIES
Pseudomonas putida,303,GCF_015680565.1,6153024,6153024,132,127023,14,132,127023,14,132,6153024,3847169,62.5,45,Pseudomonas putida,303,species,v1.2.3,99.83,1.64,94.5946,NA,SPECIES
Pseudomonas putida,303,GCF_015680605.1,6110160,6110160,160,111368,17,160,111368,17,160,6110160,3827427,62.5,35,Pseudomonas putida,303,species,v1.2.3,99.83,1.58,94.5946,NA,SPECIES
Pseudomonas putida,303,GCF_015680455.1,6153331,6153331,142,104212,18,142,104212,18,142,6153331,3847359,62.5,35,Pseudomonas putida,303,species,v1.2.3,99.83,1.64,94.5946,NA,SPECIES
