name,tax_id,accession_id,total_number_of_chromosomes,total_sequence_length,total_ungapped_length,number_of_contigs,contig_n50,contig_l50,number_of_scaffolds,scaffold_n50,scaffold_l50,number_of_component_sequences,atgc_count,gc_count,gc_percent,genome_coverage,checkm_marker_set,checkm_species_tax_id,checkm_marker_set_rank,checkm_version,completeness,contamination,completeness_percentile,rank
Mycolicibacterium smegmatis,1772,GCF_000331165.2,1,7119169,7119169,1,7119169,1,1,7119169,1,1,7119169,4791970,67.5,30.5784,Mycobacterium smegmatis,1772,species,v1.2.3,98.3,4.46,28.9855,SPECIES
Mycolicibacterium smegmatis,1772,GCF_022370375.1,1,7061747,7061747,1,7061747,1,1,7061747,1,1,7061747,4756146,67.5,101,Mycobacterium smegmatis,1772,species,v1.2.3,97.08,3.77,2.89855,SPECIES
Mycolicibacterium smegmatis,1772,GCF_022370395.1,1,7010278,7010278,1,7010278,1,1,7010278,1,1,7010278,4719936,67.5,104,Mycobacterium smegmatis,1772,species,v1.2.3,97.51,2.28,5.7971,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024599995.1,1,7006087,7006087,1,7006087,1,1,7006087,1,1,7006087,4722108,67.5,58,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600015.1,1,7006086,7006086,1,7006086,1,1,7006086,1,1,7006086,4722103,67.5,71,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600315.1,1,7006086,7006086,1,7006086,1,1,7006086,1,1,7006086,4722105,67.5,45,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600035.1,1,7005472,7005472,1,7005472,1,1,7005472,1,1,7005472,4721678,67.5,72,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600175.1,1,7003821,7003821,1,7003821,1,1,7003821,1,1,7003821,4720587,67.5,49,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600455.1,1,7003821,7003821,1,7003821,1,1,7003821,1,1,7003821,4720588,67.5,149,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,SPECIES
Mycolicibacterium smegmatis,1772,GCF_001457595.1,1,6983267,6983267,1,6983267,1,1,6983267,1,1,6983267,4701755,67.5,100,Mycobacterium smegmatis,1772,species,v1.2.4,97.76,2.18,14.4928,SPECIES
Pseudomonas aeruginosa,287,GCF_013201115.1,1,7564383,7564383,1,7564383,1,1,7564383,1,1,7564383,4949341,65.5,181.5,Pseudomonas aeruginosa,287,species,v1.2.4,97.65,3.46,9.47131,SPECIES
Pseudomonas aeruginosa,287,GCF_000981825.1,1,7497593,7497593,1,7497593,1,1,7497593,1,1,7497593,4918177,65.5,98,Pseudomonas aeruginosa,287,species,v1.2.3,99.11,1.13,31.0514,SPECIES
Pseudomonas aeruginosa,287,GCF_002208645.1,1,7411863,7411863,1,7411863,1,1,7411863,1,1,7411863,4871792,65.5,146,Pseudomonas aeruginosa,287,species,v1.2.3,97.46,2.86,8.42817,SPECIES
Pseudomonas aeruginosa,287,GCF_023093935.1,2,7583544,7583544,2,7408984,1,2,7408984,1,2,7583544,4954989,65.5,185,Pseudomonas aeruginosa,287,species,v1.2.3,99.11,1.48,31.0514,SPECIES
Pseudomonas aeruginosa,287,GCA_029961365.1,3,7466275,7466275,3,7406986,1,3,7406986,1,3,7466275,4898371,65.5,40,Pseudomonas aeruginosa,287,species,v1.2.2,92.03,1.06,1.5588,SPECIES
Pseudomonas aeruginosa,287,GCF_002085605.1,1,7380063,7380063,1,7380063,1,1,7380063,1,1,7380063,4845773,65.5,40,Pseudomonas aeruginosa,287,species,v1.2.4,99.32,1.13,45.6852,SPECIES
Pseudomonas aeruginosa,287,GCF_033615795.1,1,7352680,7352680,1,7352680,1,1,7352680,1,1,7352680,4840487,66,227,Pseudomonas aeruginosa,287,species,v1.2.3,99.06,2.42,29.0126,SPECIES
Pseudomonas aeruginosa,287,GCF_026727755.1,1,7345639,7345639,1,7345639,1,1,7345639,1,1,7345639,4828574,65.5,552.1,Pseudomonas aeruginosa,287,species,v1.2.3,99.16,1.74,33.4578,SPECIES
Pseudomonas aeruginosa,287,GCF_009676765.1,1,7344079,7344079,1,7344079,1,1,7344079,1,1,7344079,4829954,66,55.55,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,2.18,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_009676785.1,1,7343000,7343000,1,7343000,1,1,7343000,1,1,7343000,4829309,66,55.65,Pseudomonas aeruginosa,287,species,v1.2.3,99.79,2.18,92.5557,SPECIES
Pseudomonas putida,303,GCF_003228315.1,1,6845198,6845198,1,6845198,1,1,6845198,1,1,6845198,4126132,60.5,6.8452e+06,Pseudomonas putida,303,species,v1.2.3,98.61,4.65,26.0442,SPECIES
Pseudomonas putida,303,GCF_050989985.1,1,6768491,6768491,1,6768491,1,1,6768491,1,1,6768491,4092046,60.5,1,Pseudomonas putida,303,species,v1.2.3,99.02,3.58,33.9066,SPECIES
Pseudomonas putida,303,GCF_001630725.2,1,6656695,6656695,1,6656695,1,1,6656695,1,1,6656695,4119995,62,200,Pseudomonas putida,303,species,v1.2.3,99.22,0.92,41.5233,SPECIES
Pseudomonas putida,303,GCF_000498395.2,1,6621848,6621848,1,6621848,1,1,6621848,1,1,6621848,4128086,62.5,163.56,Pseudomonas putida,303,species,v1.2.3,99.26,1.4,43.9803,SPECIES
Pseudomonas putida,303,GCF_002356095.1,5,7467685,7467685,5,6583377,1,5,6583377,1,5,7467685,4582430,61.5,124,Pseudomonas putida,303,species,v1.2.3,99.53,2.54,61.1794,SPECIES
Pseudomonas putida,303,GCF_050990305.1,1,6577063,6577063,1,6577063,1,1,6577063,1,1,6577063,3895364,59,1,Pseudomonas putida,303,species,v1.2.3,99.05,2.65,34.8894,SPECIES
Pseudomonas putida,303,GCF_034424745.1,1,6559726,6559726,1,6559726,1,1,6559726,1,1,6559726,4047747,61.5,109,Pseudomonas putida,303,species,v1.2.3,99.74,0.37,87.9607,SPECIES
Pseudomonas putida,303,GCF_035758525.1,3,6595663,6595663,3,6513708,1,3,6513708,1,3,6595663,4020989,61,73,Pseudomonas putida,303,species,v1.2.3,98.56,1.7,25.5528,SPECIES
Pseudomonas putida,303,GCF_014764425.1,2,7114630,7114630,2,6511858,1,2,6511858,1,2,7114630,4357097,61,50,Pseudomonas putida,303,species,v1.2.3,99.77,2.23,89.1892,SPECIES
Pseudomonas putida,303,GCF_005080685.1,2,6610151,6610151,2,6495886,1,2,6495886,1,2,6610151,4163788,63,61,Pseudomonas putida,303,species,v1.2.3,98.19,1.82,21.8673,SPECIES
