Column1,unique.host_data.standardised_host.,Column2,,,,,,
9,GRASS CARP,,,,,,,
78,GRASSES,,,,,,,
303,GUAR,,,,,,,
287,GUAR PULSE,,,,,,,
182,GYPSOPHILA PANICULATA,,,,,,,
35,HALYOMORPHA HALYS,,,,,,,
318,HERICIUM ERINACEUS,,,,,,,
4,HOMO SAPIENS,,,,,,,
249,HONEYDEW,,,,,,,
213,HORDEUM BREVISUBULATUM SUBSP. VIOLACEUM,,,,,,,
176,HUMULUS LUPULUS,,,,,,,
82,HYDRA,,,,,,,
328,HYPOTHENEMUS HAMPEI,,,,,,,
207,IMPATIENS BALSAMINA,,,,,,,
100,INDIGOFERA ARGENTEA BURM.F.,,,,,,,
408,IRIS TECTORUM,,,,,,,
288,JACKFRUIT,,,,,,,
380,JATROPHA CURCAS,,,,,,,
54,KALIDIUM FOLIATUM,,,,,,,
19,KALIDIUM FOLIATUM (PALL.) MOQ,,,,,,,
52,KARELINIA CASPIA,,,,,,,
70,LACTUCA SATIVA,,,,,,,
248,LACTUCA SERRIOLA,,,,,,,
116,LAMINARIA DIGITATA,,,,,,,
147,LAND CRAG,,,,,,,
183,LAODELPHAX STRIATELLUS,,,,,,,
30,LASIUS NIGER,,,,,,,
245,LATHYRUS OLERACEUS,,,,,,,
360,LEONTOPODIUM ALPINUM,,,,,,,
212,LETTUCE,,,,,,,
306,LILY,,,,,,,
66,LINUM AUSTRIACUM SSP. AUSTRIACUM,,,,,,,
371,LIRIOPE MUSCARI,,,,,,,
86,LISSOTRITON VULGARIS,,,,,,,
18,LITODITIS MARINA,,,,,,,
109,LIVING SEAWEED,,,,,,,
33,LOLIUM ARUNDINACEUM,,,,,,,
44,LOLIUM PERENNE,,,,,,,
87,LOTUS JAPONICUS,,,,,,,
326,MACACA FASCICULARIS,,,,,,,
337,MAGNOLIA GRANDIFLORA,,,,,,,
104,MAIZE,,,,,,,
237,MALUS,,,,,,,
218,MALUS DOMESTICA,,,,,,,
221,MALUS DOMESTICA 'EGREMONT RUSSET',,,,,,,
219,MALUS DOMESTICA 'GALA',,,,,,,
228,MALUS FLORIBUNDA,,,,,,,
232,MALUS HALLIANA,,,,,,,
374,MALUS PRUNIFOLIA (CRAB APPLE),,,,,,,
224,MALUS SP.,,,,,,,
235,MALUS TRANSITORIA,,,,,,,
344,MANGO,,,,,,,
290,MANGO TREE,,,,,,,
64,MANTIS RELIGIOSA,,,,,,,
29,MARINE SPONGE,,,,,,,
43,MARMOT,,,,,,,
342,MASSON PINE,,,,,,,
350,MASSOSPORA CICADINA,,,,,,,
159,MEDICAGO,,,,,23,MISSING,1
317,MEDICAGO SATIVA,,,,,5,MSSING,1
199,MEDICAGO SATIVA CV. FORCE-5,,,,,179,N/A,1
175,MEDICAGO SATIVA CV. RYNO6,,,,,1,NA,1
161,MEDICAGO SATIVA CV. SEQUEL,,,,,17,NO COLLECTED,1
291,MELANAPHIS SACCHARI ZEHNTNER,,,,,6,NOT APPLICABLE,1
345,MELOLONTHA HIPPOCASTANI,,,,,27,NOT AVAILABLE,1
53,MICROCYSTIS AERUGINOSA,,,,,61,NOT COLLECTED,1
162,MIMOSA SCABRELLA,,,,,80,NOT PROVIDED,1
56,MIRABILIS JALAPA,,,,,214,UNKNOWN,1
358,MORMIDEA SP.,,,,,,,
185,MORUS ALBA,,,,,,,
338,MURGANTIA HISTRIONICA,,,,,,,
14,MUS MUSCULUS,,,,,,,
97,MUS MUSCULUS C3H/ORL,,,,,,,
157,MUSHROOM,,,,,,,
143,NAEMORHEDUS CAUDATUS,,,,,,,
55,NELTUMA LAEVIGATA,,,,,,,
15,NEMATOSTELLA VECTENSIS,,,,,,,
106,NEODON FUSCUS,,,,,,,
388,"NEW MEXICO MILKVETCH, ASTRAGALUS NEOMEXICANUS",,,,,,,
322,NEZARA VIRIDULA,,,,,,,
299,NICOTIANA TABACUM,,,,,,,
187,NICOTIANA TABACUM L.,,,,,,,
153,NOTACANTHUS CHEMNITZII,,,,,,,
41,OCHOTONA CURZONIAE (PLATEAU PIKA),,,,,,,
227,OCIMUM LAMIIFOLIUM,,,,,,,
210,OILSEED RAPE,,,,,,,
309,OLEA EUROPAEA,,,,,,,
171,ONION,,,,,,,
128,OPHIACTIS SAVIGNYI,,,,,,,
255,ORANGE,,,,,,,
98,ORYZA GLABERRIMA,,,,,,,
300,ORYZA RUFIPOGON,,,,,,,
34,ORYZA SATIVA,,,,,,,
57,ORYZA SATIVA CV. HWAYOUNG,,,,,,,
184,ORYZA SATIVA L.,,,,,,,
272,ORYZA SP.,,,,,,,
62,OXYTROPIS TRAGACANTHOIDES,,,,,,,
359,PANAX GINSENG,,,,,,,
113,PAPAVER SOMNIFERUM,,,,,,,
385,PARALITHODES CAMTSCHATICUS,,,,,,,
399,PARAMECIUM BURSARIA,,,,,,,
398,PARAMECIUM TETRATOBURSARIA,,,,,,,
396,PASSIFLORA INCARNATA,,,,,,,
297,PAULLINIA CUPANA,,,,,,,
281,PEACH PALM,,,,,,,
269,PEANUT,,,,,,,
346,PEAR TREE,,,,,,,
283,PEARL MILLET,,,,,,,
65,PELARGONIUM,,,,,,,
127,PELARGONIUM X HORTORUM,,,,,,,
123,PENAEUS VANNAMEI,,,,,,,
356,PENTATOMIDAE SP.,,,,,,,
59,PERINEREIS LINEA,,,,,,,
325,PETUNIA X HYBRIDA,,,,,,,
105,PHASEOLUS VULGARIS,,,,,,,
190,PHILODENDRON ERUBESCENS,,,,,,,
112,PHYLLOSTACHYS EDULIS,,,,,,,
131,PILL MILLIPEDE,,,,,,,
202,PINEAPPLE,,,,,,,
267,PINTOMYIA EVANSI,,,,,,,
60,PISUM SATIVUM L.,,,,,,,
47,PLANT,,,,,,,
217,PLANTAGO LANCEOLATA,,,,,,,
164,PLEUROTUS ERYNGII,,,,,,,
115,POA ANNUA,,,,,,,
372,POPLAR,,,,,,,
236,POPULUS,,,,,,,
135,POPULUS ALBA,,,,,,,
11,PORITES LOBATA,,,,,,,
265,PORTULACA PILOSA,,,,,,,
268,PORTULACA SP.,,,,,,,
20,POULTRY,,,,,,,
120,PROCAPRA PICTICAUDATA,,,,,,,
145,PROCUBITERMES UNDULANS,,,,,,,
38,PROTAETIA BREVITARSIS SEULENSIS LARVA,,,,,,,
211,PYRUS COMMUNIS,,,,,,,
220,PYRUS COMMUNIS 'CLAPP'S FAVORITE',,,,,,,
369,QUERCUS MONGOLICA,,,,,,,
163,RABBIT,,,,,,,
336,RAFFLESIA CANTLEYI,,,,,,,
296,RAIN WATER,,,,,,,
114,RAPHANUS SATIVUS,,,,,,,
178,RAPHANUS SATIVUS VAR. FLAMBOYANT 5,,,,,,,
95,RHIZOCARPON GEOGRAPHICUM,,,,,,,
351,RHOPALOEIDES ODORABILE,,,,,,,
85,RICE,,,,,,,
201,RICE PLANT,,,,,,,
195,RICE_LEAF,,,,,,,
251,RICHARDIA SCABRA,,,,,,,
257,RICHARDIA SCABRA L.,,,,,,,
93,RICINUS COMMUNIS,,,,,,,
223,RUBUS IDAEUS,,,,,,,
329,SACCHARUM (SUGARCANE),,,,,,,
349,SACCHARUM OFFICINARUM,,,,,,,
13,SALICORNIA BRACHIATA,,,,,,,
333,SALIX ATROCINEREA,,,,,,,
90,SALIX SP. (WILLOW),,,,,,,
89,SALIX VIMINALIS,,,,,,,
392,SALVINIA MINIMA,,,,,,,
410,SARRACENIA PURPUREA,,,,,,,
7,SCUTELLARIA BAICALENSIS,,,,,,,
134,SEDIMENT OF YELLOW RIVER,,,,,,,
154,SERPULA LACRYMANS,,,,,,,
271,SESUVIUM PORTULACASTRUM,,,,,,,
205,SETARIA ITALICA,,,,,,,
285,SETARIA ITALICA (FOXTAIL MILLET),,,,,,,
332,SIBARIA ENGLEMANI,,,,,,,
137,SIMENCHELYS PARASITICA,,,,,,,
261,SLENDER AMARANTH,,,,,,,
36,SOIL,,,,,,,
32,SOLANUM LYCOPERSICUM,,,,,,,
10,SOLANUM TUBEROSUM,,,,,,,
197,SOLANUM TUBEROSUM L.,,,,,,,
387,SOPHORA DAVIDII (FRANCH.) SKEELS,,,,,,,
216,SORBUS AUCUPARIA,,,,,,,
226,SORBUS AUCUPARIA 'ROWANCROFT CORAL PINK',,,,,,,
117,SORGHUM BICOLOR,,,,,,,
280,SORGHUM BICOLOR (L.) MOENCH,,,,,,,
188,SPERMACOCE STRICTA,,,,,,,
81,SPHAERALCEA ANGUSTIFOLIA,,,,,,,
151,SPHAEROTERMES SPHAEROTHORAX,,,,,,,
25,SPONGE,,,,,,,
406,SPONGILLA LACUSTRIS,,,,,,,
77,SPONGILLA SP.,,,,,,,
389,STEGODYPHUS DUMICOLA,,,,,,,
68,STEREOCAULON,,,,,,,
353,STEVIA REBAUDIANA BERTONI,,,,,,,
275,STRAWBERRY,,,,,,,
124,SUAEDA,,,,,,,
50,SUAEDA ARALOCASPICA,,,,,,,
192,SUGAR CANE YZ08-1095,,,,,,,
277,SUGARCANE,,,,,,,
26,SUS SCROFA,,,,,,,
370,TAGETES PATULA,,,,,,,
330,TAUROCERUS SP.,,,,,,,
289,TAXUS CUSPIDATA,,,,,,,
129,TELLIMA GRANDIFLORA,,,,,,,
48,TENEBRIO MOLITOR,,,,,,,
377,TEPHROSIA PURPUREA SUBSP. APOLLINEA,,,,,,,
222,TERMITES,,,,,,,
270,TETRAGONIA TETRAGONOIDES,,,,,,,
142,THEOBROMA GRANDIFLORUM (ISOLATE C174 RESISTANT TO WITCHES BROOM),,,,,,,
311,THINOPYRUM ELONGATUM,,,,,,,
253,THRIPS,,,,,,,
252,THRIPS TABACI,,,,,,,
242,THUJA OCCIDENTALIS,,,,,,,
40,TIBETAN GAZELLE,,,,,,,
152,TIBETAN SHEEP,,,,,,,
173,TOBACCO,,,,,,,
362,TOMATO,,,,,,,
238,TOXICODENDRON RADICANS,,,,,,,
313,TRACHYMYRMEX SP.,,,,,,,
395,TREBOUXIA SP. TZW2008,,,,,,,
71,TRIBULUS TERRESTRIS,,,,,,,
108,TRIFOLIUM,,,,,,,
63,TRIFOLIUM REPENS,,,,,,,
58,TRITICUM AESTIVUM,,,,,,,
191,TRITICUM AESTIVUM CV. CATAWBA,,,,,,,
102,TRITICUM TURGIDUM,,,,,,,
295,TRITICUM TURGIDUM SUBSP. DURUM,,,,,,,
49,TRYPOXYLUS DICHOTOMUS,,,,,,,
393,TUSSILAGO FARFARA,,,,,,,
83,ULMUS,,,,,,,
386,ULVA INTESTINALIS,,,,,,,
355,ULVA OHNOI,,,,,,,
74,ULVA SP.,,,,,,,
274,UROCHLOA TEXANA,,,,,,,
364,VACHELLIA CAVEN,,,,,,,
305,VACHELLIA TORTILIS SUBSP. RADDIANA,,,,,,,
286,VERBENA,,,,,,,
273,VERBENA BONARIENSIS,,,,,,,
404,VERRUCARIA DITMARSICA,,,,,,,
240,VICIA SATIVA,,,,,,,
67,VITIS,,,,,,,
2,VULTUR GRYPHUS,,,,,,,
335,WALNUT,,,,,,,
138,WANGYARU,,,,,,,
121,WATERMELON,,,,,,,
282,WESTERN GROUND PARROT,,,,,,,
28,WHEAT,,,,,,,
405,XANTHORIA PARIETINA,,,,,,,
31,XESTOSPONGIA MUTA,,,,,,,
167,ZAMIA INTEGRIFOLIA,,,,,,,
75,ZEA MAYS,,,,,,,
378,ZEA MAYS CV. SWEET BELLE,,,,,,,
348,ZEA MAYS L.,,,,,,,
206,ZEA MAYS VAR. RUGOSA,,,,,,,
170,ZEA MAYS VAR. RUGOSA (SWEET CORN),,,,,,,
278,ZINNIA ELEGANS,,,,,,,
37,ZOPHOBAS MORIO,,,,,,,
